index,label,p_pos,p_neu,p_neg
94,neu,0.33,0.34,0.33
95,pos,0.8725419640541077,0.0,0.1274580359458923
96,neu,0.33,0.34,0.33
97,neu,0.33,0.34,0.33
98,neu,0.33,0.34,0.33
99,pos,0.8725419640541077,0.0,0.1274580359458923
100,neu,0.33,0.34,0.33
101,neu,0.33,0.34,0.33
102,neu,0.33,0.34,0.33
103,neu,0.33,0.34,0.33
104,neu,0.33,0.34,0.33
105,neu,0.33,0.34,0.33
106,pos,0.8725419640541077,0.0,0.1274580359458923
107,neu,0.33,0.34,0.33
108,neu,0.33,0.34,0.33
109,neu,0.33,0.34,0.33
110,neu,0.33,0.34,0.33
111,pos,0.8725419640541077,0.0,0.1274580359458923
112,neu,0.33,0.34,0.33
113,neu,0.33,0.34,0.33
114,neu,0.33,0.34,0.33
115,neu,0.33,0.34,0.33
116,neu,0.33,0.34,0.33
117,neu,0.33,0.34,0.33
118,neu,0.33,0.34,0.33
119,neu,0.33,0.34,0.33
120,neu,0.33,0.34,0.33
121,pos,0.8725419640541077,0.0,0.1274580359458923
122,neu,0.33,0.34,0.33
123,neu,0.33,0.34,0.33
124,neu,0.33,0.34,0.33
125,neu,0.33,0.34,0.33
126,neu,0.33,0.34,0.33
127,neu,0.33,0.34,0.33
128,neu,0.33,0.34,0.33
129,neu,0.33,0.34,0.33
130,neu,0.33,0.34,0.33
131,neu,0.33,0.34,0.33
132,neu,0.33,0.34,0.33
133,pos,0.8725419044494629,0.0,0.1274580955505371
134,neu,0.33,0.34,0.33
135,neu,0.33,0.34,0.33
136,neu,0.33,0.34,0.33
137,neu,0.33,0.34,0.33
138,neu,0.33,0.34,0.33
139,neu,0.33,0.34,0.33
140,neu,0.33,0.34,0.33
141,neu,0.33,0.34,0.33
142,neu,0.33,0.34,0.33
143,neu,0.33,0.34,0.33
144,neu,0.33,0.34,0.33
145,neu,0.33,0.34,0.33
146,neu,0.33,0.34,0.33
147,pos,0.8628921508789062,0.0,0.1371078491210937
148,neu,0.33,0.34,0.33
149,neu,0.33,0.34,0.33
150,neu,0.33,0.34,0.33
151,neu,0.33,0.34,0.33
152,neu,0.33,0.34,0.33
153,neu,0.33,0.34,0.33
154,neu,0.33,0.34,0.33
155,pos,0.8628921508789062,0.0,0.1371078491210937
156,neu,0.33,0.34,0.33
157,neu,0.33,0.34,0.33
158,neu,0.33,0.34,0.33
159,neu,0.33,0.34,0.33
160,neu,0.33,0.34,0.33
161,neu,0.33,0.34,0.33
162,neu,0.33,0.34,0.33
163,neu,0.33,0.34,0.33
164,neg,0.1911242008209228,0.0,0.8088757991790771
165,neu,0.33,0.34,0.33
166,neu,0.33,0.34,0.33
167,neu,0.33,0.34,0.33
168,neu,0.33,0.34,0.33
169,neu,0.33,0.34,0.33
170,neu,0.33,0.34,0.33
171,neu,0.33,0.34,0.33
172,neu,0.33,0.34,0.33
173,neu,0.33,0.34,0.33
174,neu,0.33,0.34,0.33
175,neu,0.33,0.34,0.33
176,neu,0.33,0.34,0.33
177,neu,0.33,0.34,0.33
178,neu,0.33,0.34,0.33
179,neg,0.1911242008209228,0.0,0.8088757991790771
180,neu,0.33,0.34,0.33
181,neu,0.33,0.34,0.33
182,neu,0.33,0.34,0.33
183,neu,0.33,0.34,0.33
184,neu,0.33,0.34,0.33
185,neu,0.33,0.34,0.33
186,neu,0.33,0.34,0.33
187,neu,0.33,0.34,0.33
188,neu,0.33,0.34,0.33
189,neu,0.33,0.34,0.33
190,neu,0.33,0.34,0.33
191,neu,0.33,0.34,0.33
192,pos,0.9010887145996094,0.0,0.0989112854003906
193,neu,0.33,0.34,0.33
194,neu,0.33,0.34,0.33
195,neu,0.33,0.34,0.33
196,neu,0.33,0.34,0.33
197,neu,0.33,0.34,0.33
198,pos,0.9010887145996094,0.0,0.0989112854003906
199,neu,0.33,0.34,0.33
200,neu,0.33,0.34,0.33
201,neu,0.33,0.34,0.33
202,neu,0.33,0.34,0.33
203,neu,0.33,0.34,0.33
204,neu,0.33,0.34,0.33
205,pos,0.9010887145996094,0.0,0.0989112854003906
206,neu,0.33,0.34,0.33
207,neu,0.33,0.34,0.33
208,neu,0.33,0.34,0.33
209,neu,0.33,0.34,0.33
210,neu,0.33,0.34,0.33
211,neu,0.33,0.34,0.33
212,neu,0.33,0.34,0.33
213,neg,0.1538882851600647,0.0,0.8461117148399353
214,pos,0.7315899133682251,0.0,0.2684100866317749
215,neu,0.33,0.34,0.33
216,neu,0.33,0.34,0.33
217,neu,0.33,0.34,0.33
218,neu,0.33,0.34,0.33
219,neu,0.33,0.34,0.33
220,neu,0.33,0.34,0.33
221,neg,0.1538882851600647,0.0,0.8461117148399353
222,pos,0.7315899133682251,0.0,0.2684100866317749
223,neu,0.33,0.34,0.33
224,pos,0.7884921431541443,0.0,0.2115078568458557
225,neu,0.33,0.34,0.33
226,neu,0.33,0.34,0.33
227,pos,0.9185003042221068,0.0,0.081499695777893
228,pos,0.690568208694458,0.0,0.309431791305542
229,neu,0.33,0.34,0.33
230,neu,0.33,0.34,0.33
231,neu,0.33,0.34,0.33
232,pos,0.7884921431541443,0.0,0.2115078568458557
233,neu,0.33,0.34,0.33
234,neu,0.33,0.34,0.33
235,pos,0.9185003042221068,0.0,0.081499695777893
236,pos,0.690568208694458,0.0,0.309431791305542
237,neu,0.33,0.34,0.33
238,neu,0.33,0.34,0.33
239,neu,0.33,0.34,0.33
240,neu,0.33,0.34,0.33
241,neu,0.33,0.34,0.33
242,neu,0.33,0.34,0.33
243,neu,0.33,0.34,0.33
244,neu,0.33,0.34,0.33
245,neu,0.33,0.34,0.33
246,neu,0.33,0.34,0.33
247,neu,0.33,0.34,0.33
248,neu,0.33,0.34,0.33
249,neu,0.33,0.34,0.33
250,neu,0.33,0.34,0.33
251,neu,0.33,0.34,0.33
252,neu,0.33,0.34,0.33
253,neu,0.33,0.34,0.33
254,neu,0.33,0.34,0.33
255,neu,0.33,0.34,0.33
256,pos,0.641234815120697,0.0,0.358765184879303
257,neu,0.33,0.34,0.33
258,neu,0.33,0.34,0.33
259,neu,0.33,0.34,0.33
260,neu,0.33,0.34,0.33
261,neg,0.1138907670974731,0.0,0.8861092329025269
262,neu,0.33,0.34,0.33
263,neg,0.0400469899177551,0.0,0.9599530100822448
264,pos,0.641234815120697,0.0,0.358765184879303
265,neu,0.33,0.34,0.33
266,neu,0.33,0.34,0.33
267,neu,0.33,0.34,0.33
268,neu,0.33,0.34,0.33
269,neg,0.1138907670974731,0.0,0.8861092329025269
270,neu,0.33,0.34,0.33
271,neg,0.0400469899177551,0.0,0.9599530100822448
272,pos,0.641234815120697,0.0,0.358765184879303
273,neu,0.33,0.34,0.33
274,neu,0.33,0.34,0.33
275,neu,0.33,0.34,0.33
276,neu,0.33,0.34,0.33
277,neg,0.1138907670974731,0.0,0.8861092329025269
278,neu,0.33,0.34,0.33
279,neg,0.0400469899177551,0.0,0.9599530100822448
280,pos,0.9103588461875916,0.0,0.0896411538124084
281,neu,0.33,0.34,0.33
282,neu,0.33,0.34,0.33
283,neg,0.2175309658050537,0.0,0.7824690341949463
284,pos,0.8725162744522095,0.0,0.1274837255477905
285,neu,0.33,0.34,0.33
286,neu,0.33,0.34,0.33
287,pos,0.6048678159713745,0.0,0.3951321840286255
288,pos,0.9103588461875916,0.0,0.0896411538124084
289,neu,0.33,0.34,0.33
290,neu,0.33,0.34,0.33
291,neg,0.2175309658050537,0.0,0.7824690341949463
292,pos,0.8725162744522095,0.0,0.1274837255477905
293,neu,0.33,0.34,0.33
294,neu,0.33,0.34,0.33
295,pos,0.6048678159713745,0.0,0.3951321840286255
296,neu,0.33,0.34,0.33
297,neu,0.33,0.34,0.33
298,neu,0.33,0.34,0.33
299,neu,0.33,0.34,0.33
300,neu,0.33,0.34,0.33
301,neu,0.33,0.34,0.33
302,neu,0.33,0.34,0.33
303,neu,0.33,0.34,0.33
304,neu,0.33,0.34,0.33
305,neu,0.33,0.34,0.33
306,neu,0.33,0.34,0.33
307,neu,0.33,0.34,0.33
308,neu,0.33,0.34,0.33
309,neu,0.33,0.34,0.33
310,neu,0.33,0.34,0.33
311,neu,0.33,0.34,0.33
312,pos,0.9456424713134766,0.0,0.0543575286865234
313,neu,0.33,0.34,0.33
314,neu,0.33,0.34,0.33
315,neu,0.33,0.34,0.33
316,neu,0.33,0.34,0.33
317,pos,0.9456424713134766,0.0,0.0543575286865234
318,neu,0.33,0.34,0.33
319,neu,0.33,0.34,0.33
320,neu,0.33,0.34,0.33
321,neu,0.33,0.34,0.33
322,neu,0.33,0.34,0.33
323,neu,0.33,0.34,0.33
324,neu,0.33,0.34,0.33
325,neu,0.33,0.34,0.33
326,neu,0.33,0.34,0.33
327,neu,0.33,0.34,0.33
328,neg,0.0403387546539306,0.0,0.9596612453460692
329,neu,0.33,0.34,0.33
330,neu,0.33,0.34,0.33
331,neu,0.33,0.34,0.33
332,neu,0.33,0.34,0.33
333,neu,0.33,0.34,0.33
334,neu,0.33,0.34,0.33
335,neg,0.0403387546539306,0.0,0.9596612453460692
336,neu,0.33,0.34,0.33
337,neu,0.33,0.34,0.33
338,neu,0.33,0.34,0.33
339,pos,0.5003728866577148,0.0,0.4996271133422851
340,neg,0.0244467258453369,0.0,0.9755532741546632
341,pos,0.9358638525009156,0.0,0.0641361474990844
342,neu,0.33,0.34,0.33
343,neu,0.33,0.34,0.33
344,neu,0.33,0.34,0.33
345,neu,0.33,0.34,0.33
346,pos,0.6508123278617859,0.0,0.3491876721382141
347,pos,0.7212017774581909,0.0,0.2787982225418091
348,pos,0.8368048667907715,0.0,0.1631951332092285
349,neu,0.33,0.34,0.33
350,neg,0.2671095728874206,0.0,0.7328904271125793
351,pos,0.8165137767791748,0.0,0.1834862232208252
352,neu,0.33,0.34,0.33
353,neu,0.33,0.34,0.33
354,neu,0.33,0.34,0.33
355,neu,0.33,0.34,0.33
356,neu,0.33,0.34,0.33
357,neu,0.33,0.34,0.33
358,neu,0.33,0.34,0.33
359,neu,0.33,0.34,0.33
360,neu,0.33,0.34,0.33
361,neu,0.33,0.34,0.33
362,neu,0.33,0.34,0.33
363,neu,0.33,0.34,0.33
364,neu,0.33,0.34,0.33
365,neu,0.33,0.34,0.33
366,neu,0.33,0.34,0.33
367,neu,0.33,0.34,0.33
368,neu,0.33,0.34,0.33
369,neu,0.33,0.34,0.33
370,neu,0.33,0.34,0.33
371,neu,0.33,0.34,0.33
372,neu,0.33,0.34,0.33
373,neu,0.33,0.34,0.33
374,neu,0.33,0.34,0.33
375,neu,0.33,0.34,0.33
376,neu,0.33,0.34,0.33
377,pos,0.6449529528617859,0.0,0.3550470471382141
378,neu,0.33,0.34,0.33
379,neu,0.33,0.34,0.33
380,neu,0.33,0.34,0.33
381,neu,0.33,0.34,0.33
382,neu,0.33,0.34,0.33
383,neu,0.33,0.34,0.33
384,pos,0.6449533700942993,0.0,0.3550466299057007
385,neu,0.33,0.34,0.33
386,neu,0.33,0.34,0.33
387,pos,0.9256535172462464,0.0,0.0743464827537536
388,neu,0.33,0.34,0.33
389,neg,0.0381942391395568,0.0,0.9618057608604432
390,pos,0.8016568422317505,0.0,0.1983431577682495
391,neg,0.4198157787322998,0.0,0.5801842212677002
392,neu,0.33,0.34,0.33
393,neu,0.33,0.34,0.33
394,pos,0.9256535172462464,0.0,0.0743464827537536
395,neu,0.33,0.34,0.33
396,neg,0.0381942391395568,0.0,0.9618057608604432
397,neg,0.4198157787322998,0.0,0.5801842212677002
398,neu,0.33,0.34,0.33
399,neu,0.33,0.34,0.33
400,pos,0.9256535172462464,0.0,0.0743464827537536
401,neg,0.0381942391395568,0.0,0.9618057608604432
402,pos,0.8016568422317505,0.0,0.1983431577682495
403,neg,0.4198157787322998,0.0,0.5801842212677002
404,neu,0.33,0.34,0.33
405,neu,0.33,0.34,0.33
406,pos,0.9256535172462464,0.0,0.0743464827537536
407,neg,0.0381942391395568,0.0,0.9618057608604432
408,neu,0.33,0.34,0.33
409,neu,0.33,0.34,0.33
410,pos,0.9256535172462464,0.0,0.0743464827537536
411,neg,0.0381942391395568,0.0,0.9618057608604432
412,neu,0.33,0.34,0.33
413,neu,0.33,0.34,0.33
414,pos,0.9256535172462464,0.0,0.0743464827537536
415,neu,0.33,0.34,0.33
416,pos,0.8016568422317505,0.0,0.1983431577682495
417,neg,0.4198157787322998,0.0,0.5801842212677002
418,neu,0.33,0.34,0.33
419,neu,0.33,0.34,0.33
420,pos,0.9256535172462464,0.0,0.0743464827537536
421,neg,0.4198157787322998,0.0,0.5801842212677002
422,neu,0.33,0.34,0.33
423,neu,0.33,0.34,0.33
424,pos,0.9256535172462464,0.0,0.0743464827537536
425,neu,0.33,0.34,0.33
426,pos,0.8016568422317505,0.0,0.1983431577682495
427,neg,0.4198157787322998,0.0,0.5801842212677002
428,neu,0.33,0.34,0.33
429,neu,0.33,0.34,0.33
430,pos,0.9256535172462464,0.0,0.0743464827537536
431,neu,0.33,0.34,0.33
432,neg,0.0381942391395568,0.0,0.9618057608604432
433,pos,0.8016568422317505,0.0,0.1983431577682495
434,neg,0.4198157787322998,0.0,0.5801842212677002
435,neu,0.33,0.34,0.33
436,neu,0.33,0.34,0.33
437,pos,0.9256535172462464,0.0,0.0743464827537536
438,neu,0.33,0.34,0.33
439,pos,0.8016568422317505,0.0,0.1983431577682495
440,neg,0.4198157787322998,0.0,0.5801842212677002
441,neu,0.33,0.34,0.33
442,neu,0.33,0.34,0.33
443,neg,0.0381942391395568,0.0,0.9618057608604432
444,pos,0.8016568422317505,0.0,0.1983431577682495
445,neg,0.4198157787322998,0.0,0.5801842212677002
446,neu,0.33,0.34,0.33
447,neu,0.33,0.34,0.33
448,pos,0.9256535172462464,0.0,0.0743464827537536
449,neu,0.33,0.34,0.33
450,neg,0.0381942391395568,0.0,0.9618057608604432
451,pos,0.8016568422317505,0.0,0.1983431577682495
452,neg,0.4198157787322998,0.0,0.5801842212677002
453,neu,0.33,0.34,0.33
454,neu,0.33,0.34,0.33
455,pos,0.9256535172462464,0.0,0.0743464827537536
456,neg,0.0381942391395568,0.0,0.9618057608604432
457,pos,0.8016568422317505,0.0,0.1983431577682495
458,neg,0.4198157787322998,0.0,0.5801842212677002
459,neu,0.33,0.34,0.33
460,neu,0.33,0.34,0.33
461,pos,0.6278576850891113,0.0,0.3721423149108886
462,neu,0.33,0.34,0.33
463,pos,0.5601455569267273,0.0,0.4398544430732727
464,neu,0.33,0.34,0.33
465,pos,0.7900371551513672,0.0,0.2099628448486328
466,neg,0.2935787439346313,0.0,0.7064212560653687
467,neu,0.33,0.34,0.33
468,pos,0.8541463613510132,0.0,0.1458536386489868
469,neu,0.33,0.34,0.33
470,neu,0.33,0.34,0.33
471,pos,0.7820421457290649,0.0,0.217957854270935
472,pos,0.7400429844856262,0.0,0.2599570155143738
473,neu,0.33,0.34,0.33
474,neu,0.33,0.34,0.33
475,pos,0.7433742880821228,0.0,0.2566257119178772
476,pos,0.565974771976471,0.0,0.434025228023529
477,neu,0.33,0.34,0.33
478,neu,0.33,0.34,0.33
479,neu,0.33,0.34,0.33
480,neu,0.33,0.34,0.33
481,neu,0.33,0.34,0.33
482,pos,0.8441786766052246,0.0,0.1558213233947754
483,neu,0.33,0.34,0.33
484,neu,0.33,0.34,0.33
485,neu,0.33,0.34,0.33
486,neu,0.33,0.34,0.33
487,neu,0.33,0.34,0.33
488,pos,0.8441786766052246,0.0,0.1558213233947754
489,neu,0.33,0.34,0.33
490,neg,0.0588615536689758,0.0,0.9411384463310242
491,neu,0.33,0.34,0.33
492,neu,0.33,0.34,0.33
493,neu,0.33,0.34,0.33
494,neu,0.33,0.34,0.33
495,neg,0.0588615536689758,0.0,0.9411384463310242
496,neu,0.33,0.34,0.33
497,neu,0.33,0.34,0.33
498,neu,0.33,0.34,0.33
499,neu,0.33,0.34,0.33
500,pos,0.8441786766052246,0.0,0.1558213233947754
501,neu,0.33,0.34,0.33
502,neu,0.33,0.34,0.33
503,neu,0.33,0.34,0.33
504,neu,0.33,0.34,0.33
505,neu,0.33,0.34,0.33
506,pos,0.8441786766052246,0.0,0.1558213233947754
507,neu,0.33,0.34,0.33
508,neg,0.0588615536689758,0.0,0.9411384463310242
509,neu,0.33,0.34,0.33
510,neu,0.33,0.34,0.33
511,neu,0.33,0.34,0.33
512,neu,0.33,0.34,0.33
513,neu,0.33,0.34,0.33
514,pos,0.8956679105758667,0.0,0.1043320894241333
515,neu,0.33,0.34,0.33
516,neu,0.33,0.34,0.33
517,neu,0.33,0.34,0.33
518,neu,0.33,0.34,0.33
519,neu,0.33,0.34,0.33
520,neu,0.33,0.34,0.33
521,neu,0.33,0.34,0.33
522,pos,0.8956679105758667,0.0,0.1043320894241333
523,neu,0.33,0.34,0.33
524,neu,0.33,0.34,0.33
525,neu,0.33,0.34,0.33
526,neu,0.33,0.34,0.33
527,neu,0.33,0.34,0.33
528,neu,0.33,0.34,0.33
529,neu,0.33,0.34,0.33
530,pos,0.8956679105758667,0.0,0.1043320894241333
531,neu,0.33,0.34,0.33
532,neu,0.33,0.34,0.33
533,neu,0.33,0.34,0.33
534,neu,0.33,0.34,0.33
535,neu,0.33,0.34,0.33
536,neu,0.33,0.34,0.33
537,neu,0.33,0.34,0.33
538,pos,0.8956679105758667,0.0,0.1043320894241333
539,neu,0.33,0.34,0.33
540,neu,0.33,0.34,0.33
541,neu,0.33,0.34,0.33
542,neu,0.33,0.34,0.33
543,neu,0.33,0.34,0.33
544,neu,0.33,0.34,0.33
545,neu,0.33,0.34,0.33
546,pos,0.8956679105758667,0.0,0.1043320894241333
547,neu,0.33,0.34,0.33
548,neu,0.33,0.34,0.33
549,neu,0.33,0.34,0.33
550,neu,0.33,0.34,0.33
551,neu,0.33,0.34,0.33
552,neu,0.33,0.34,0.33
553,neu,0.33,0.34,0.33
554,pos,0.8956679105758667,0.0,0.1043320894241333
555,neu,0.33,0.34,0.33
556,neu,0.33,0.34,0.33
557,neu,0.33,0.34,0.33
558,neu,0.33,0.34,0.33
559,neu,0.33,0.34,0.33
560,neu,0.33,0.34,0.33
561,neu,0.33,0.34,0.33
562,neu,0.33,0.34,0.33
563,neu,0.33,0.34,0.33
564,neu,0.33,0.34,0.33
565,neu,0.33,0.34,0.33
566,neu,0.33,0.34,0.33
567,neu,0.33,0.34,0.33
568,neu,0.33,0.34,0.33
569,neu,0.33,0.34,0.33
570,neu,0.33,0.34,0.33
571,neu,0.33,0.34,0.33
572,neu,0.33,0.34,0.33
573,neu,0.33,0.34,0.33
574,neu,0.33,0.34,0.33
575,neu,0.33,0.34,0.33
576,neu,0.33,0.34,0.33
577,neu,0.33,0.34,0.33
578,neu,0.33,0.34,0.33
579,neu,0.33,0.34,0.33
580,neu,0.33,0.34,0.33
581,neu,0.33,0.34,0.33
582,neu,0.33,0.34,0.33
583,neu,0.33,0.34,0.33
584,neu,0.33,0.34,0.33
585,neu,0.33,0.34,0.33
586,neu,0.33,0.34,0.33
587,neu,0.33,0.34,0.33
588,neu,0.33,0.34,0.33
589,neu,0.33,0.34,0.33
590,neu,0.33,0.34,0.33
591,neu,0.33,0.34,0.33
592,neu,0.33,0.34,0.33
593,neu,0.33,0.34,0.33
594,neu,0.33,0.34,0.33
595,neu,0.33,0.34,0.33
596,neu,0.33,0.34,0.33
597,neu,0.33,0.34,0.33
598,neu,0.33,0.34,0.33
599,neu,0.33,0.34,0.33
600,neu,0.33,0.34,0.33
601,neu,0.33,0.34,0.33
602,neu,0.33,0.34,0.33
603,neu,0.33,0.34,0.33
604,neu,0.33,0.34,0.33
605,neu,0.33,0.34,0.33
606,neu,0.33,0.34,0.33
607,neu,0.33,0.34,0.33
608,neu,0.33,0.34,0.33
609,neu,0.33,0.34,0.33
610,neu,0.33,0.34,0.33
611,neu,0.33,0.34,0.33
612,neu,0.33,0.34,0.33
613,neu,0.33,0.34,0.33
614,neu,0.33,0.34,0.33
615,neu,0.33,0.34,0.33
616,neu,0.33,0.34,0.33
617,neu,0.33,0.34,0.33
618,neu,0.33,0.34,0.33
619,neu,0.33,0.34,0.33
620,neu,0.33,0.34,0.33
621,neu,0.33,0.34,0.33
622,neu,0.33,0.34,0.33
623,neu,0.33,0.34,0.33
624,neu,0.33,0.34,0.33
625,neu,0.33,0.34,0.33
626,neu,0.33,0.34,0.33
627,neu,0.33,0.34,0.33
628,neu,0.33,0.34,0.33
629,neu,0.33,0.34,0.33
630,neu,0.33,0.34,0.33
631,neu,0.33,0.34,0.33
632,pos,0.5690251588821411,0.0,0.4309748411178589
633,pos,0.5596644878387451,0.0,0.4403355121612549
634,neu,0.33,0.34,0.33
635,pos,0.5690251588821411,0.0,0.4309748411178589
636,pos,0.5596644878387451,0.0,0.4403355121612549
637,neu,0.33,0.34,0.33
638,neu,0.33,0.34,0.33
639,pos,0.7553180456161499,0.0,0.2446819543838501
640,neu,0.33,0.34,0.33
641,neu,0.33,0.34,0.33
642,pos,0.572146475315094,0.0,0.427853524684906
643,neu,0.33,0.34,0.33
644,neu,0.33,0.34,0.33
645,neu,0.33,0.34,0.33
646,neu,0.33,0.34,0.33
647,pos,0.7553184032440186,0.0,0.2446815967559814
648,neu,0.33,0.34,0.33
649,neu,0.33,0.34,0.33
650,pos,0.572146475315094,0.0,0.427853524684906
651,neu,0.33,0.34,0.33
652,neu,0.33,0.34,0.33
653,neu,0.33,0.34,0.33
654,neu,0.33,0.34,0.33
655,pos,0.7553184032440186,0.0,0.2446815967559814
656,neu,0.33,0.34,0.33
657,neu,0.33,0.34,0.33
658,pos,0.572146475315094,0.0,0.427853524684906
659,neu,0.33,0.34,0.33
660,neu,0.33,0.34,0.33
661,neu,0.33,0.34,0.33
662,pos,0.7385297417640686,0.0,0.2614702582359314
663,pos,0.7379785180091858,0.0,0.2620214819908142
664,neu,0.33,0.34,0.33
665,pos,0.8989585041999817,0.0,0.1010414958000183
666,neu,0.33,0.34,0.33
667,pos,0.7385297417640686,0.0,0.2614702582359314
668,pos,0.7379785180091858,0.0,0.2620214819908142
669,neu,0.33,0.34,0.33
670,neu,0.33,0.34,0.33
671,neu,0.33,0.34,0.33
672,neu,0.33,0.34,0.33
673,neu,0.33,0.34,0.33
674,neu,0.33,0.34,0.33
675,neu,0.33,0.34,0.33
676,neu,0.33,0.34,0.33
677,neu,0.33,0.34,0.33
678,neu,0.33,0.34,0.33
679,neu,0.33,0.34,0.33
680,neu,0.33,0.34,0.33
681,neu,0.33,0.34,0.33
682,neu,0.33,0.34,0.33
683,neu,0.33,0.34,0.33
684,neu,0.33,0.34,0.33
685,neu,0.33,0.34,0.33
686,neu,0.33,0.34,0.33
687,neu,0.33,0.34,0.33
688,neu,0.33,0.34,0.33
689,neu,0.33,0.34,0.33
690,neu,0.33,0.34,0.33
691,neu,0.33,0.34,0.33
692,neu,0.33,0.34,0.33
693,neu,0.33,0.34,0.33
694,neu,0.33,0.34,0.33
695,pos,0.9451153874397278,0.0,0.0548846125602722
696,neu,0.33,0.34,0.33
697,neu,0.33,0.34,0.33
698,neu,0.33,0.34,0.33
699,pos,0.7955872416496277,0.0,0.2044127583503723
700,neu,0.33,0.34,0.33
701,neu,0.33,0.34,0.33
702,neu,0.33,0.34,0.33
703,pos,0.9451153874397278,0.0,0.0548846125602722
704,neu,0.33,0.34,0.33
705,neu,0.33,0.34,0.33
706,neu,0.33,0.34,0.33
707,pos,0.7955872416496277,0.0,0.2044127583503723
708,neu,0.33,0.34,0.33
709,neu,0.33,0.34,0.33
710,neu,0.33,0.34,0.33
711,pos,0.9451153874397278,0.0,0.0548846125602722
712,neu,0.33,0.34,0.33
713,neu,0.33,0.34,0.33
714,neu,0.33,0.34,0.33
715,pos,0.7955872416496277,0.0,0.2044127583503723
716,neu,0.33,0.34,0.33
717,neu,0.33,0.34,0.33
718,neu,0.33,0.34,0.33
719,pos,0.9451153874397278,0.0,0.0548846125602722
720,neu,0.33,0.34,0.33
721,neu,0.33,0.34,0.33
